📺英国频道,#genre#
Blaze,https://live-blaze-ssai.simplestreamcdn.com/v1/master/774d979dd66704abea7c5b62cb34c6815fda0d35/blaze-live-broadcast-scte/index.m3u8

📺美国频道,#genre#
HBO,http://23.237.104.106:8080/USA_HBO/tracks-v1a1/mono.m3u8
ABC 2,https://aegis-cloudfront-1.tubi.video/c28d1ca8-9467-4798-81dc-09c1d6e90be1/playlist.m3u8
ABC 5,https://d3svnrf3rmq619.cloudfront.net/krgv-live/smil:krgv-live.smil/playlist.m3u8
ABC 5,https://aegis-cloudfront-1.tubi.video/c2e3094d-ad56-4c5f-9655-cd80df71fbab/playlist.m3u8
ABC 5,https://amg01942-amg01942c2-stirr-us-10173.playouts.now.amagi.tv/playlist.m3u8
ABC 6,https://amg01942-amg01942c6-stirr-us-10178.playouts.now.amagi.tv/playlist.m3u8
ABC 6,https://aegis-cloudfront-1.tubi.video/bc9ff1c7-4dc1-4e36-9ef0-25b28c595ada/playlist.m3u8
ABC 7,https://aegis-cloudfront-1.tubi.video/2dba5dd9-4097-45e3-b169-56735cc48476/playlist.m3u8
ABC 7,https://content.uplynk.com/channel/64ca339f04964a5e961c3207a7771bf1.m3u8
ABC 9,https://aegis-cloudfront-1.tubi.video/b77ffe96-c5d1-43a7-8687-306ff244d725/playlist.m3u8
ABC 9,https://aegis-cloudfront-1.tubi.video/a53514a7-f2aa-4d34-802e-c2b5594fc0d7/playlist.m3u8
ABC 10,https://amg01942-amg01942c3-stirr-us-10196.playouts.now.amagi.tv/playlist.m3u8
ABC 10,https://aegis-cloudfront-1.tubi.video/1a352414-3a30-4f42-b14b-c091d02a5e45/playlist.m3u8
ABC 12,https://aegis-cloudfront-1.tubi.video/ec903a48-3638-4d0b-ac89-813e147bca58/playlist.m3u8
ABC 13,https://content.uplynk.com/channel/39919d3f7a074eefa8bf579214e952f9.m3u8
ABC 15,https://aegis-cloudfront-1.tubi.video/e923f4ce-7229-4e01-a25e-d453993dab82/playlist.m3u8
ABC 23,https://aegis-cloudfront-1.tubi.video/69c4e4f9-84fa-43eb-b38e-6d1f9464ca73/playlist.m3u8
ABC 25,https://content.uplynk.com/channel/9d4e02c9c3544c269d32e6b316792c8f.m3u8
ABC 27,https://aegis-cloudfront-1.tubi.video/e739361e-fa12-4cac-92f3-e0dbf332cd88/playlist.m3u8

📺香港,#genre#
TVB翡翠台,http://iptv.4666888.xyz/iptv2A.php?id=28
TVB翡翠台,https://cdn6.163189.xyz/163189/fct
TVB翡翠台,https://cdn6.163189.xyz/163189/hlfct
TVB翡翠台,https://o11.163189.xyz/stream/live/hlt/
TVB翡翠台,https://o11.163189.xyz/stream/tvb/fct/
TVB明珠台,http://iptv.4666888.xyz/iptv2A.php?id=29
TVB明珠台,https://o11.163189.xyz/stream/tvb/mzt/
TVB无线新闻,https://cdn6.163189.xyz/163189/wxxw
TVB无线新闻,https://cdn6.163189.xyz/163189/wxxwt
TVB无线新闻,http://cdn6.163189.xyz/163189/wxxw
TVB无线星河,https://cdn6.163189.xyz/163189/tvbxh
TVB无线星河,https://cdn10.163189.xyz/163189/xinghe/
TVB无线星河,https://o11.163189.xyz/stream/live/tvbxh/
TVB娱乐新闻,http://iptv.4666888.xyz/iptv2A.php?id=36
TVB娱乐新闻,https://cdn6.163189.xyz/163189/ylxw
TVB Plus,https://o11.163189.xyz/stream/tvb/tvbp/
TVB Plus,https://cdn10.163189.xyz/163189/tvbp/
TVB Plus,https://smt.1678520.xyz/163189/tvbp
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25
TVB1,https://cdn6.163189.xyz/163189/tvb1
翡翠剧集台(北美),https://cdn6.163189.xyz/163189/tvbd
凤凰卫视中文台,https://live.264788.xyz/channel/fenghuangweishizhongwen?streamid=3ed416f2709e7ecaf6dc1b9d9c66bb5e&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
凤凰卫视中文台,http://iptv.4666888.xyz/iptv2A.php?id=27
凤凰卫视中文台,https://cdn6.163189.xyz/163189/fhzw
凤凰卫视中文台,http://cdn6.163189.xyz/163189/fhzw
凤凰卫视香港台,https://cdn6.163189.xyz/163189/fhhk
凤凰卫视香港台,http://cdn6.163189.xyz/163189/fhhk
凤凰资讯,https://live.264788.xyz/channel/fenghuangweishizixun?streamid=77bd953dbf073e11b80bba0a8aca92c5&livekey=01WgLWBpXQwqJ8lD6I3GoZv2Hcl5kxNroo1oc
凤凰资讯,https://cdn6.163189.xyz/163189/fhzx
凤凰资讯,http://cdn6.163189.xyz/163189/fhzx
RTHK31,http://iptv.4666888.xyz/iptv2A.php?id=23
RTHK31,https://cdn.163189.xyz/163189/rthk31
